id,raw_scores,baseline,impact_evidence,feasibility_risk
P01,4/3/3/1,3.1,2.7,2.95
P02,4/4/2/2,3.7,3.3,3.7
P03,5/4/3/3,4.05,3.9499999999999997,3.65
P04,4/3/4/1,2.9,2.6,2.5
P05,3/2/5/1,2.0500000000000003,1.9500000000000002,1.65
M01,5/3/2/5/3/4,3.8,3.8,4.0
M02,5/3/3/4/5/4,4.05,4.05,4.0
M03,4/1/2/5/3/4,3.05,2.8,3.45
M04,4/2/2/5/3/4,3.3,3.15,3.65
M05,4/2/2/4/4/3,3.2,3.15,3.25
M06,3/1/1/2/5/1,2.25,2.3,1.95
M07,4/2/2/3/4/2,2.95,3.0,2.75
M08,2/1/1/5/2/4,2.3,2.0,3.0
I01,4/4/5/3/3/5/3/3/3/3/3/5/4/2/5/5,4.0,4.12,4.0200000000000005
I02,4/3/4/3/3/3/3/1/2/4/2/3/4/2/3/3,3.1300000000000003,3.26,2.99
I03,4/4/5/2/4/4/2/3/3/3/3/4/4/3/4/5,3.87,4.08,3.73
I04,3/3/4/2/3/3/2/4/4/4/3/3/2/3/2/3,3.0700000000000003,3.12,3.0100000000000002
I05,2/2/3/2/2/2/2/3/5/3/1/2/1/2/1/2,2.19,2.22,2.1
I06,4/4/5/3/4/2/2/3/4/4/1/1/3/3/1/3,3.22,3.48,2.83
I07,4/4/4/3/3/2/2/2/4/5/1/1/2/3/1/3,2.9,3.11,2.54
I08,4/5/4/3/3/3/2/2/3/2/2/2/3/2/4/4,3.23,3.44,3.0100000000000002
I09,4/4/5/3/3/4/3/3/4/3/3/4/3/3/5/5,3.8600000000000003,4.04,3.7600000000000002
I10,4/4/4/3/2/2/2/3/4/4/1/2/2/2/2/3,2.8200000000000003,3.0,2.58
I11,2/3/3/1/1/5/3/5/5/1/5/5/1/1/5/4,3.02,2.87,3.42
I12,3/4/4/3/3/5/4/3/3/2/4/5/5/2/5/5,3.85,3.87,4.0200000000000005
I13,4/3/5/3/4/3/2/2/2/3/4/4/5/2/4/4,3.64,3.86,3.5
I14,3/3/4/2/4/1/1/3/4/4/1/1/3/4/1/2,2.69,2.86,2.3200000000000003
